case,frames,total_us,wait_us,gpu_main_us,gpu_water_us,cpu_prepare_us,gpu_2d_us,gpu_3d_us,acquire_us,encode_us,submit_us,present_us,draw_calls_2d,draw_calls_3d,instances_3d,skip_render_3d_frames,scene_passes_per_frame,gpu_main_median_us,gpu_main_p95_us,acquire_median_us,acquire_p95_us,submit_median_us,submit_p95_us,present_median_us,present_p95_us,cpu_prepare_median_us,cpu_prepare_p95_us,encode_median_us,encode_p95_us,pipeline_switches_median,pipeline_switches_p95
empty_idle,200,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
empty_present,200,482,150,43,2,2,0,0,183,4,112,137,0,0,0,200,0,41.760,42.960,148.800,397.100,105.300,165.400,130.200,217.300,2.100,4.100,3.400,5.800,0,0
rects_10k,200,536,183,72,2,2,12,0,175,10,157,133,1,0,0,0,2,72.400,75.920,143.000,302.500,145.600,244.000,126.200,195.400,2.100,4.700,7.700,32.700,0,0
rects_100k,200,598,269,161,2,3,16,0,188,10,187,151,1,0,0,0,2,161.400,164.400,159.000,503.800,169.800,294.300,143.600,212.400,2.800,6.000,9.500,18.200,0,0
sprites_10k_same_z,200,1046,1022,848,2,3,414,0,247,12,181,145,1,0,0,0,2,849.280,854.480,257.800,492.900,176.800,244.700,139.800,192.900,3.300,7.300,11.800,21.000,0,0
sprites_100k_same_z,200,5722,8476,7733,2,6,4697,0,463,27,262,187,1,0,0,0,2,7811.000,7829.800,449.700,679.300,239.600,387.100,175.400,267.500,6.000,11.300,26.500,39.600,0,0
sprites_10k_unique_z,200,1595,337,152,2,6,595,0,340,22,306,249,1,0,0,0,2,152.000,157.160,325.800,587.400,303.500,449.200,221.300,388.500,6.500,10.000,21.500,34.800,0,0
water_1_64,200,628,231,103,12,2,12,2,171,16,237,131,0,0,0,0,3,102.760,107.280,142.700,285.100,227.600,309.800,124.500,206.900,2.200,4.300,14.900,26.300,0,0
water_16_64_i8,200,640,246,106,13,3,12,2,171,17,245,134,0,0,0,0,3,104.120,112.480,146.600,346.200,232.700,328.000,129.900,176.100,2.400,6.200,15.600,26.100,0,0
water_64_128_i16,200,777,280,127,30,4,15,3,183,20,295,159,0,0,0,0,3,126.960,133.440,162.700,323.000,273.100,429.700,150.300,234.300,3.200,8.200,19.100,34.100,0,0
