case,frames,total_us,wait_us,gpu_main_us,gpu_water_us,cpu_prepare_us,gpu_2d_us,gpu_3d_us,encode_us,submit_us,present_us,draw_calls_2d,draw_calls_3d,instances_3d,gpu_main_median_us,gpu_main_p95_us,cpu_prepare_median_us,cpu_prepare_p95_us,encode_median_us,encode_p95_us,pipeline_switches_median,pipeline_switches_p95
shader_variant_plain_generic,2000,705,301,157,2,2,0,163,17,248,98,0,1,100000,157.200,166.880,2.300,3.600,16.000,21.800,1,1
shader_variant_plain_auto,2000,704,300,157,2,2,0,165,17,248,99,0,1,100000,157.080,167.120,2.300,3.700,16.000,22.000,1,1
shader_variant_textured_generic,2000,533,366,243,2,2,0,34,15,217,99,0,1,1,235.920,289.120,2.300,3.500,14.300,20.000,1,1
shader_variant_textured_auto,2000,533,344,223,2,2,0,33,15,217,98,0,1,1,211.120,282.520,2.300,3.400,14.300,19.200,1,1
shader_variant_shadow_heavy_generic,2000,562,401,261,2,2,0,39,16,227,101,0,1,1,255.080,294.920,2.300,4.100,15.100,22.700,1,1
shader_variant_shadow_heavy_auto,2000,546,357,231,2,2,0,38,15,219,98,0,1,1,218.480,288.480,2.300,3.700,14.400,20.500,1,1
shader_variant_plain_generic,2000,709,303,158,2,2,0,164,17,251,98,0,1,100000,157.440,167.440,2.300,3.700,16.100,22.500,1,1
shader_variant_plain_auto,2000,705,300,157,2,2,0,164,17,249,99,0,1,100000,157.160,167.480,2.300,3.700,16.100,22.400,1,1
shader_variant_textured_generic,2000,535,354,232,2,2,0,34,15,217,98,0,1,1,218.720,292.360,2.200,3.500,14.200,19.600,1,1
shader_variant_textured_auto,2000,537,360,239,2,2,0,33,15,218,98,0,1,1,231.320,279.080,2.300,3.600,14.500,20.200,1,1
shader_variant_shadow_heavy_generic,2000,540,375,251,2,2,0,38,15,217,99,0,1,1,242.640,294.320,2.300,3.500,14.600,20.100,1,1
shader_variant_shadow_heavy_auto,2000,541,360,232,2,2,0,37,15,218,98,0,1,1,220.520,287.800,2.300,3.500,14.600,19.700,1,1
shader_variant_shadow_heavy_auto,2000,578,376,234,2,2,0,41,18,234,105,0,1,1,217.680,292.920,2.200,5.100,16.100,27.800,1,1
shader_variant_shadow_heavy_generic,2000,571,382,240,2,2,0,40,16,230,105,0,1,1,230.120,301.960,2.200,5.000,14.800,25.000,1,1
shader_variant_textured_auto,2000,557,379,238,2,2,0,36,16,228,102,0,1,1,230.760,286.200,2.200,4.900,14.600,25.000,1,1
shader_variant_textured_generic,2000,559,379,240,2,2,0,35,16,227,104,0,1,1,232.680,294.200,2.200,4.700,14.600,24.000,1,1
shader_variant_plain_auto,2000,746,329,161,2,2,0,175,18,259,103,0,1,100000,159.200,169.960,2.200,4.600,17.100,26.900,1,1
shader_variant_plain_generic,2000,737,336,159,2,2,0,171,18,259,103,0,1,100000,158.080,168.000,2.200,4.400,17.000,25.200,1,1
